,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
309,HN,HN,1572985719,90,14.25,-87.96,69,18.34,78.8,78.8
310,RU,RU,1572985720,14,51.15,37.89,94,8.79,50.34,50.34
311,MK,MK,1572985722,20,41.28,20.71,72,12.75,59.0,59.0
312,BZ,BZ,1572985723,75,16.17,-88.94,74,9.17,86.0,86.0
313,RU,RU,1572985725,100,61.68,96.39,96,3.0,9.28,9.28
314,YE,YE,1572985726,59,14.4,46.47,39,1.25,64.36,64.36
315,US,US,1572985428,90,42.65,-73.75,58,9.17,55.99,48.0
316,BR,BR,1572985729,20,-3.02,-41.13,74,13.87,84.2,84.2
317,RU,RU,1572985730,100,52.93,87.98,98,3.24,31.06,31.06
318,US,US,1572985496,40,41.12,-87.86,48,19.46,46.0,39.99
319,NO,NO,1572985733,40,59.79,5.78,69,10.29,41.0,36.0
320,CA,CA,1572985734,90,45.36,-73.48,93,9.17,48.99,46.0
321,RU,RU,1572985736,0,66.42,112.4,83,4.47,-11.21,-11.21
322,IR,IR,1572985539,0,31.6,55.4,52,1.95,46.9,46.9
323,US,US,1572985738,1,42.06,-104.18,50,5.82,59.0,53.6
324,BR,BR,1572985741,93,-30.17,-50.22,78,15.82,67.96,67.96
325,BR,BR,1572985742,78,-14.4,-56.44,72,2.28,80.91,80.91
326,AU,AU,1572985743,0,-27.56,151.95,43,5.82,59.0,50.0
327,SO,SO,1572985745,100,4.12,43.89,91,17.38,72.14,72.14
328,ZA,ZA,1572985746,0,-34.04,23.05,93,1.12,60.8,60.8
329,NA,NA,1572985747,0,-22.12,14.28,81,1.01,64.99,64.99
330,CA,CA,1572985749,100,60.75,-137.51,88,2.82,12.2,12.2
331,CN,CN,1572985750,90,35.77,102.37,94,0.87,28.44,28.44
332,MX,MX,1572985751,39,27.97,-114.04,45,10.4,76.77,76.77
333,RU,RU,1572985753,100,56.76,48.47,93,21.27,45.41,45.41
334,MG,MG,1572985754,100,-13.19,49.05,65,12.17,79.07,79.07
335,RU,RU,1572985755,95,67.65,134.64,99,1.79,-2.69,-2.69
336,MX,MX,1572985757,75,21.25,-105.17,58,5.82,88.0,84.2
337,NO,NO,1572985758,75,68.38,17.6,100,5.82,26.6,24.01
338,MN,MN,1572985760,0,49.49,105.92,73,2.51,24.46,24.46
339,PT,PT,1572985762,75,33.08,-16.33,59,16.11,68.0,66.2
340,RU,RU,1572985763,100,69.41,86.18,78,17.9,10.4,10.4
341,CA,CA,1572985764,91,50.56,-96.99,72,8.01,21.99,21.0
342,RU,RU,1572985765,0,71.98,102.47,86,9.62,-5.82,-5.82
343,CA,CA,1572985767,90,50.93,-102.81,79,13.87,19.4,19.0
344,PT,PT,1572985768,31,40.36,-7.35,92,1.99,52.0,45.0
345,AU,AU,1572985769,69,-38.24,146.4,92,3.0,59.0,48.99
346,RU,RU,1572985771,4,66.56,67.8,87,15.41,15.53,15.53
